pid,did,at,Department,time_block
51,1,0,0,0
61,2,0,0,1
57,3,0,0,0
63,4,0,0,1
53,5,0,0,1
1,6,0,0,0
22,7,0,0,1
68,8,0,0,0
76,9,0,0,1
3,10,0,0,0
87,1,0,0,0
54,2,0,0,1
19,3,0,0,0
50,4,0,0,1
80,5,0,0,1
28,6,0,0,0
56,7,0,0,1
17,8,0,0,0
56,9,0,0,1
2,10,0,0,0
89,1,0,0,0
14,2,0,0,1
89,3,0,0,0
5,4,0,0,1
56,5,0,0,1
49,6,0,0,0
18,7,0,0,1
30,8,0,0,0
44,9,0,0,1
85,10,0,0,0
53,1,0,0,0
12,2,0,0,1
49,3,0,0,0
52,4,0,0,1
4,5,0,0,1
36,6,0,0,0
50,7,0,0,1
44,8,0,0,0
51,9,0,0,1
31,10,0,0,0
34,1,0,0,0
26,2,0,0,1
81,3,0,0,0
41,4,0,0,1
22,5,0,0,1
56,6,0,0,0
65,7,0,0,1
90,8,0,0,0
74,9,0,0,1
64,10,0,0,0
14,1,0,0,0
87,2,0,0,1
33,3,0,0,0
76,4,0,0,1
48,5,0,0,1
9,6,0,0,0
77,7,0,0,1
45,8,0,0,0
34,9,0,0,1
38,10,0,0,0
59,1,0,0,0
52,2,0,0,1
70,3,0,0,0
32,4,0,0,1
18,5,0,0,1
53,6,0,0,0
88,7,0,0,1
36,8,0,0,0
6,9,0,0,1
7,10,0,0,0
64,1,0,0,0
72,2,0,0,1
73,3,0,0,0
64,4,0,0,1
8,5,0,0,1
35,6,0,0,0
26,7,0,0,1
83,8,0,0,0
33,9,0,0,1
4,10,0,0,0
33,1,0,0,0
76,2,0,0,1
3,3,0,0,0
13,4,0,0,1
31,5,0,0,1
73,6,0,0,0
5,7,0,0,1
54,8,0,0,0
8,9,0,0,1
49,10,0,0,0
79,1,0,0,0
75,2,0,0,1
1,3,0,0,0
69,4,0,0,1
9,5,0,0,1
2,6,0,0,0
40,7,0,0,1
35,8,0,0,0
7,9,0,0,1
70,10,0,0,0
19,1,0,0,0
36,2,0,0,1
10,3,0,0,0
79,4,0,0,1
12,5,0,0,1
74,6,0,0,0
69,7,0,0,1
40,8,0,0,0
64,9,0,0,1
66,10,0,0,0
55,1,0,0,0
9,2,0,0,1
18,3,0,0,0
